name,medal_type,medal_date,gender,birth_date,country,discipline,event,lat,long
ZHANG Qiongyue,BRONZE,2024-08-02,FEMININO,2004-03-12,China,Shooting,50m Rifle 3 Positions Women,35.86166,104.195397
MARCHAND Leon,OURO,2024-08-02,MASCULINO,2002-05-17,France,Swimming,Men's 200m Individual Medley,46.227638,2.213749
SCOTT Duncan,PRATA,2024-08-02,MASCULINO,1997-05-06,Great Britain,Swimming,Men's 200m Individual Medley,55.378051,-3.435973
WANG Shun,BRONZE,2024-08-02,MASCULINO,1994-02-11,China,Swimming,Men's 200m Individual Medley,35.86166,104.195397
McEVOY Cameron,OURO,2024-08-02,MASCULINO,1994-05-13,Australia,Swimming,Men's 50m Freestyle,-25.274398,133.775136
PROUD Benjamin,PRATA,2024-08-02,MASCULINO,1994-09-21,Great Britain,Swimming,Men's 50m Freestyle,55.378051,-3.435973
MANAUDOU Florent,BRONZE,2024-08-02,MASCULINO,1990-11-12,France,Swimming,Men's 50m Freestyle,46.227638,2.213749
McKEOWN Kaylee,OURO,2024-08-02,FEMININO,2001-07-12,Australia,Swimming,Women's 200m Backstroke,-25.274398,133.775136
SMITH Regan,PRATA,2024-08-02,FEMININO,2002-02-09,United States,Swimming,Women's 200m Backstroke,38.7945952,-106.5348379
MASSE Kylie,BRONZE,2024-08-02,FEMININO,1996-01-18,Canada,Swimming,Women's 200m Backstroke,56.130366,-106.346771
SWIATEK Iga,BRONZE,2024-08-02,FEMININO,2001-05-31,Poland,Tennis,Women's Singles,51.919438,19.145136
LITVINOVICH Ivan,OURO,2024-08-02,MASCULINO,2001-06-26,AIN,Trampoline Gymnastics,Men,46.2475706,5.1307681
WANG Zisai,PRATA,2024-08-02,MASCULINO,2006-06-18,China,Trampoline Gymnastics,Men,35.86166,104.195397
YAN Langyu,BRONZE,2024-08-02,MASCULINO,1999-08-31,China,Trampoline Gymnastics,Men,35.86166,104.195397
PAGE Bryony,OURO,2024-08-02,FEMININO,1990-12-10,Great Britain,Trampoline Gymnastics,Women,55.378051,-3.435973
BARDZILOUSKAYA Viyaleta,PRATA,2024-08-02,FEMININO,2005-06-07,AIN,Trampoline Gymnastics,Women,46.2475706,5.1307681
METHOT Sophiane,BRONZE,2024-08-02,FEMININO,1998-08-03,Canada,Trampoline Gymnastics,Women,56.130366,-106.346771
LIM Sihyeon,OURO,2024-08-03,FEMININO,2003-06-13,Korea,Archery,Women's Individual,35.907757,127.766922
NAM Suhyeon,PRATA,2024-08-03,FEMININO,2005-01-27,Korea,Archery,Women's Individual,35.907757,127.766922
BARBELIN Lisa,BRONZE,2024-08-03,FEMININO,2000-04-10,France,Archery,Women's Individual,46.227638,2.213749
YULO Carlos Edriel,OURO,2024-08-03,MASCULINO,2000-02-16,Philippines,Artistic Gymnastics,Men's Floor Exercise,12.879721,121.774017
DOLGOPYAT Artem,PRATA,2024-08-03,MASCULINO,1997-06-16,Israel,Artistic Gymnastics,Men's Floor Exercise,31.046051,34.851612
JARMAN Jake,BRONZE,2024-08-03,MASCULINO,2001-12-03,Great Britain,Artistic Gymnastics,Men's Floor Exercise,55.378051,-3.435973
Mc CLENAGHAN Rhys,OURO,2024-08-03,MASCULINO,1999-07-21,Ireland,Artistic Gymnastics,Men's Pommel Horse,53.7797554,-7.3055309
KURBANOV Nariman,PRATA,2024-08-03,MASCULINO,1997-12-06,Kazakhstan,Artistic Gymnastics,Men's Pommel Horse,48.019573,66.923684
NEDOROSCIK Stephen,BRONZE,2024-08-03,MASCULINO,1998-10-28,United States,Artistic Gymnastics,Men's Pommel Horse,38.7945952,-106.5348379
BILES Simone,OURO,2024-08-03,FEMININO,1997-03-14,United States,Artistic Gymnastics,Women's Vault,38.7945952,-106.5348379
ANDRADE Rebeca,PRATA,2024-08-03,FEMININO,1999-05-08,Brazil,Artistic Gymnastics,Women's Vault,-14.235004,-51.92528
CAREY Jade,BRONZE,2024-08-03,FEMININO,2000-05-27,United States,Artistic Gymnastics,Women's Vault,38.7945952,-106.5348379
ROOTH Markus,OURO,2024-08-03,MASCULINO,2001-12-22,Norway,Athletics,Men's Decathlon,60.472024,8.468946
NEUGEBAUER Leo,PRATA,2024-08-03,MASCULINO,2000-06-19,Germany,Athletics,Men's Decathlon,51.165691,10.451526
VICTOR Lindon,BRONZE,2024-08-03,MASCULINO,1993-02-28,Grenada,Athletics,Men's Decathlon,12.1165,-61.679
CROUSER Ryan,OURO,2024-08-03,MASCULINO,1992-12-18,United States,Athletics,Men's Shot Put,38.7945952,-106.5348379
KOVACS Joe,PRATA,2024-08-03,MASCULINO,1989-06-28,United States,Athletics,Men's Shot Put,38.7945952,-106.5348379
CAMPBELL Rajindra,BRONZE,2024-08-03,MASCULINO,1996-02-29,Jamaica,Athletics,Men's Shot Put,18.109581,-77.297508
ALFRED Julien,OURO,2024-08-03,FEMININO,2001-06-10,Saint Lucia,Athletics,Women's 100m,13.909444,-60.978893
RICHARDSON Sha'carri,PRATA,2024-08-03,FEMININO,2000-03-25,United States,Athletics,Women's 100m,38.7945952,-106.5348379
JEFFERSON Melissa,BRONZE,2024-08-03,FEMININO,2001-02-21,United States,Athletics,Women's 100m,38.7945952,-106.5348379
LAFOND Thea,OURO,2024-08-03,FEMININO,1994-04-05,Dominica,Athletics,Women's Triple Jump,15.414999,-61.370976
RICKETTS Shanieka,PRATA,2024-08-03,FEMININO,1992-02-02,Jamaica,Athletics,Women's Triple Jump,18.109581,-77.297508
MOORE Jasmine,BRONZE,2024-08-03,FEMININO,2001-05-01,United States,Athletics,Women's Triple Jump,38.7945952,-106.5348379
WU Shih Yi,BRONZE,2024-08-03,FEMININO,1998-04-27,Chinese Taipei,Boxing,Women's 60kg,23.69781,120.960515
SOARES FERREIRA Beatriz Iasmin,BRONZE,2024-08-03,FEMININO,1992-12-09,Brazil,Boxing,Women's 60kg,-14.235004,-51.92528
EVENEPOEL Remco,OURO,2024-08-03,MASCULINO,2000-01-25,Belgium,Cycling Road,Men's Road Race,50.503887,4.469936
MADOUAS Valentin,PRATA,2024-08-03,MASCULINO,1996-07-12,France,Cycling Road,Men's Road Race,46.227638,2.213749
