name,medal_type,medal_date,gender,birth_date,country,discipline,event,lat,long
WARHOLM Karsten,PRATA,2024-08-09,MASCULINO,1996-02-28,Norway,Athletics,Men's 400m Hurdles,60.472024,8.468946
dos SANTOS Alison,BRONZE,2024-08-09,MASCULINO,2000-06-03,Brazil,Athletics,Men's 400m Hurdles,-14.235004,-51.92528
DIAZ FORTUN Jordan Alejandro,OURO,2024-08-09,MASCULINO,2001-02-23,Spain,Athletics,Men's Triple Jump,40.463667,-3.74922
PICHARDO Pedro,PRATA,2024-08-09,MASCULINO,1993-06-30,Portugal,Athletics,Men's Triple Jump,39.399872,-8.224454
DIAZ HERNANDEZ Andy,BRONZE,2024-08-09,MASCULINO,1995-12-25,Italy,Athletics,Men's Triple Jump,41.87194,12.56738
CHEBET Beatrice,OURO,2024-08-09,FEMININO,2000-03-05,Kenya,Athletics,Women's 10.000m,-0.023559,37.906193
BATTOCLETTI Nadia,PRATA,2024-08-09,FEMININO,2000-04-12,Italy,Athletics,Women's 10.000m,41.87194,12.56738
HASSAN Sifan,BRONZE,2024-08-09,FEMININO,1993-01-01,Netherlands,Athletics,Women's 10.000m,52.132633,5.291266
PAULINO Marileidy,OURO,2024-08-09,FEMININO,1996-10-25,Dominican Republic,Athletics,Women's 400m,18.735693,-70.162651
NASER Salwa Eid,PRATA,2024-08-09,FEMININO,1998-05-23,Bahrain,Athletics,Women's 400m,26.0667,50.5577
KACZMAREK Natalia,BRONZE,2024-08-09,FEMININO,1998-01-17,Poland,Athletics,Women's 400m,51.919438,19.145136
OGUNLEYE Yemisi,OURO,2024-08-09,FEMININO,1998-10-03,Germany,Athletics,Women's Shot Put,51.165691,10.451526
WESCHE Maddison-Lee,PRATA,2024-08-09,FEMININO,1999-06-13,New Zealand,Athletics,Women's Shot Put,-40.900557,174.885971
SONG Jiayuan,BRONZE,2024-08-09,FEMININO,1997-09-15,China,Athletics,Women's Shot Put,35.86166,104.195397
MUYDINKHUJAEV Asadkhuja,OURO,2024-08-09,MASCULINO,2001-05-08,Uzbekistan,Boxing,Men's 71kg,41.377491,64.585262
VERDE ALVAREZ Marco Alonso,PRATA,2024-08-09,MASCULINO,2002-02-11,Mexico,Boxing,Men's 71kg,23.634501,-102.552784
MULLOJONOV Lazizbek,OURO,2024-08-09,MASCULINO,1999-05-13,Uzbekistan,Boxing,Men's 92kg,41.377491,64.585262
ALFONSO DOMINGUEZ Loren Berto,PRATA,2024-08-09,MASCULINO,1995-07-28,Azerbaijan,Boxing,Men's 92kg,40.143105,47.576927
WU Yu,OURO,2024-08-09,FEMININO,1995-01-13,China,Boxing,Women's 50kg,35.86166,104.195397
CAKIROGLU Buse Naz,PRATA,2024-08-09,FEMININO,1996-05-26,Turkiye,Boxing,Women's 50kg,38.963745,35.243322
KHELIF Imane,OURO,2024-08-09,FEMININO,1999-05-02,Algeria,Boxing,Women's 66kg,28.033886,1.659626
YANG Liu,PRATA,2024-08-09,FEMININO,1992-05-20,China,Boxing,Women's 66kg,35.86166,104.195397
AMI,OURO,2024-08-09,FEMININO,1998-12-11,Japan,Breaking,B-Girls,36.204824,138.252924
NICKA,PRATA,2024-08-09,FEMININO,2007-06-08,Lithuania,Breaking,B-Girls,55.169438,23.881275
671,BRONZE,2024-08-09,FEMININO,2005-10-19,China,Breaking,B-Girls,35.86166,104.195397
FUKSA Martin,OURO,2024-08-09,MASCULINO,1993-04-30,Czechia,Canoe Sprint,Men's Canoe Single 1000m,49.817492,15.472962
QUEIROZ Isaquias,PRATA,2024-08-09,MASCULINO,1994-01-03,Brazil,Canoe Sprint,Men's Canoe Single 1000m,-14.235004,-51.92528
TARNOVSCHI Serghei,BRONZE,2024-08-09,MASCULINO,1997-06-24,Republic of Moldova,Canoe Sprint,Men's Canoe Single 1000m,47.411631,28.369885
LAVREYSEN Harrie,OURO,2024-08-09,MASCULINO,1997-03-14,Netherlands,Cycling Track,Men's Sprint,52.132633,5.291266
RICHARDSON Matthew,PRATA,2024-08-09,MASCULINO,1999-04-17,Australia,Cycling Track,Men's Sprint,-25.274398,133.775136
CARLIN Jack,BRONZE,2024-08-09,MASCULINO,1997-04-23,Great Britain,Cycling Track,Men's Sprint,55.378051,-3.435973
CHEN Yiwen,OURO,2024-08-09,FEMININO,1999-06-15,China,Diving,Women's 3m Springboard,35.86166,104.195397
KEENEY Maddison,PRATA,2024-08-09,FEMININO,1996-05-23,Australia,Diving,Women's 3m Springboard,-25.274398,133.775136
CHANG Yani,BRONZE,2024-08-09,FEMININO,2001-12-07,China,Diving,Women's 3m Springboard,35.86166,104.195397
RASOVSZKY Kristof,OURO,2024-08-09,MASCULINO,1997-03-27,Hungary,Marathon Swimming,Men's 10km,47.162494,19.503304
KLEMET Oliver,PRATA,2024-08-09,MASCULINO,2002-03-18,Germany,Marathon Swimming,Men's 10km,51.165691,10.451526
BETLEHEM David,BRONZE,2024-08-09,MASCULINO,2003-09-04,Hungary,Marathon Swimming,Men's 10km,47.162494,19.503304
BONTUS Valentin,OURO,2024-08-09,MASCULINO,2001-02-01,Austria,Sailing,Men's Kite,47.516231,14.550072
VODISEK Toni,PRATA,2024-08-09,MASCULINO,2000-06-07,Slovenia,Sailing,Men's Kite,46.151241,14.995463
MAEDER Maximilian,BRONZE,2024-08-09,MASCULINO,2006-09-12,Singapore,Sailing,Men's Kite,1.352083,103.819836
ROBERTS Toby,OURO,2024-08-09,MASCULINO,2005-03-15,Great Britain,Sport Climbing,Men's Boulder & Lead,55.378051,-3.435973
ANRAKU Sorato,PRATA,2024-08-09,MASCULINO,2006-11-14,Japan,Sport Climbing,Men's Boulder & Lead,36.204824,138.252924
SCHUBERT Jakob,BRONZE,2024-08-09,MASCULINO,1990-12-31,Austria,Sport Climbing,Men's Boulder & Lead,47.516231,14.550072
KATOUSSI Firas,OURO,2024-08-09,MASCULINO,1995-09-06,Tunisia,Taekwondo,Men -80kg,33.886917,9.537499
BARKHORDARI Mehran,PRATA,2024-08-09,MASCULINO,2000-07-26,IR Iran,Taekwondo,Men -80kg,32.427908,53.688046
ALESSIO Simone,BRONZE,2024-08-09,MASCULINO,2000-04-14,Italy,Taekwondo,Men -80kg,41.87194,12.56738
HRNIC Edi,BRONZE,2024-08-09,MASCULINO,2003-12-26,Denmark,Taekwondo,Men -80kg,56.26392,9.501785
MARTON Viviana,OURO,2024-08-09,FEMININO,2006-02-16,Hungary,Taekwondo,Women -67kg,47.162494,19.503304
PERISIC Aleksandra,PRATA,2024-08-09,FEMININO,2002-07-02,Serbia,Taekwondo,Women -67kg,44.016521,21.005859
TEACHOUT Kristina,BRONZE,2024-08-09,FEMININO,2005-09-13,United States,Taekwondo,Women -67kg,38.7945952,-106.5348379
CHAARI Sarah,BRONZE,2024-08-09,FEMININO,2005-05-02,Belgium,Taekwondo,Women -67kg,50.503887,4.469936
NASAR Karlos May,OURO,2024-08-09,MASCULINO,2004-05-12,Bulgaria,Weightlifting,Men's 89kg,42.733883,25.48583
LOPEZ Yeison,PRATA,2024-08-09,MASCULINO,1999-09-01,Colombia,Weightlifting,Men's 89kg,4.570868,-74.297333
PIZZOLATO Antonino,BRONZE,2024-08-09,MASCULINO,1996-08-20,Italy,Weightlifting,Men's 89kg,41.87194,12.56738
REEVES Olivia,OURO,2024-08-09,FEMININO,2003-04-19,United States,Weightlifting,Women's 71kg,38.7945952,-106.5348379
SANCHEZ Mari Leivis,PRATA,2024-08-09,FEMININO,1991-10-08,Colombia,Weightlifting,Women's 71kg,4.570868,-74.297333
PALACIOS DAJOMES Angie Paola,BRONZE,2024-08-09,FEMININO,2000-09-12,Ecuador,Weightlifting,Women's 71kg,-1.831239,-78.183406
HIGUCHI Rei,OURO,2024-08-09,MASCULINO,1996-01-28,Japan,Wrestling,Men's Freestyle 57kg,36.204824,138.252924
LEE Spencer Richard,PRATA,2024-08-09,MASCULINO,1998-10-14,United States,Wrestling,Men's Freestyle 57kg,38.7945952,-106.5348379
AMAN Aman,BRONZE,2024-08-09,MASCULINO,2003-07-16,India,Wrestling,Men's Freestyle 57kg,20.593684,78.96288
ABDULLAEV Gulomjon,BRONZE,2024-08-09,MASCULINO,1998-11-11,Uzbekistan,Wrestling,Men's Freestyle 57kg,41.377491,64.585262
RAMAZANOV Magomed Eldarovitch,OURO,2024-08-09,MASCULINO,1993-05-22,Bulgaria,Wrestling,Men's Freestyle 86kg,42.733883,25.48583
YAZDANICHARATI Hassan,PRATA,2024-08-09,MASCULINO,1994-12-26,IR Iran,Wrestling,Men's Freestyle 86kg,32.427908,53.688046
BROOKS Aaron Marquel,BRONZE,2024-08-09,MASCULINO,2000-06-15,United States,Wrestling,Men's Freestyle 86kg,38.7945952,-106.5348379
KURUGLIEV Dauren,BRONZE,2024-08-09,MASCULINO,1992-07-12,Greece,Wrestling,Men's Freestyle 86kg,39.074208,21.824312
SAKURAI Tsugumi,OURO,2024-08-09,FEMININO,2001-09-03,Japan,Wrestling,Women's Freestyle 57kg,36.204824,138.252924
NICHITA Anastasia,PRATA,2024-08-09,FEMININO,1999-02-19,Republic of Moldova,Wrestling,Women's Freestyle 57kg,47.411631,28.369885
MAROULIS Helen Louise,BRONZE,2024-08-09,FEMININO,1991-09-19,United States,Wrestling,Women's Freestyle 57kg,38.7945952,-106.5348379
HONG Kexin,BRONZE,2024-08-09,FEMININO,2003-01-06,China,Wrestling,Women's Freestyle 57kg,35.86166,104.195397
INGEBRIGTSEN Jakob,OURO,2024-08-10,MASCULINO,2000-09-19,Norway,Athletics,Men's 5000m,60.472024,8.468946
KWEMOI Ronald,PRATA,2024-08-10,MASCULINO,1995-09-19,Kenya,Athletics,Men's 5000m,-0.023559,37.906193
FISHER Grant,BRONZE,2024-08-10,MASCULINO,1997-04-22,United States,Athletics,Men's 5000m,38.7945952,-106.5348379
WANYONYI Emmanuel,OURO,2024-08-10,MASCULINO,2004-08-01,Kenya,Athletics,Men's 800m,-0.023559,37.906193
AROP Marco,PRATA,2024-08-10,MASCULINO,1998-09-20,Canada,Athletics,Men's 800m,56.130366,-106.346771
SEDJATI Djamel,BRONZE,2024-08-10,MASCULINO,1999-05-03,Algeria,Athletics,Men's 800m,28.033886,1.659626
KERR Hamish,OURO,2024-08-10,MASCULINO,1996-08-17,New Zealand,Athletics,Men's High Jump,-40.900557,174.885971
McEWEN Shelby,PRATA,2024-08-10,MASCULINO,1996-04-06,United States,Athletics,Men's High Jump,38.7945952,-106.5348379
BARSHIM Mutaz Essa,BRONZE,2024-08-10,MASCULINO,1991-06-24,Qatar,Athletics,Men's High Jump,25.354826,51.183884
TOLA Tamirat,OURO,2024-08-10,MASCULINO,1991-08-11,Ethiopia,Athletics,Men's Marathon,9.145,40.489673
ABDI Bashir,PRATA,2024-08-10,MASCULINO,1989-02-10,Belgium,Athletics,Men's Marathon,50.503887,4.469936
KIPRUTO Benson,BRONZE,2024-08-10,MASCULINO,1991-03-17,Kenya,Athletics,Men's Marathon,-0.023559,37.906193
RUSSELL Masai,OURO,2024-08-10,FEMININO,2000-06-17,United States,Athletics,Women's 100m Hurdles,38.7945952,-106.5348379
SAMBA-MAYELA Cyrena,PRATA,2024-08-10,FEMININO,2000-10-31,France,Athletics,Women's 100m Hurdles,46.227638,2.213749
CAMACHO-QUINN Jasmine,BRONZE,2024-08-10,FEMININO,1996-08-21,Puerto Rico,Athletics,Women's 100m Hurdles,18.220833,-66.590149
KIPYEGON Faith,OURO,2024-08-10,FEMININO,1994-01-10,Kenya,Athletics,Women's 1500m,-0.023559,37.906193
HULL Jessica,PRATA,2024-08-10,FEMININO,1996-10-22,Australia,Athletics,Women's 1500m,-25.274398,133.775136
BELL Georgia,BRONZE,2024-08-10,FEMININO,1993-10-17,Great Britain,Athletics,Women's 1500m,55.378051,-3.435973
KITAGUCHI Haruka,OURO,2024-08-10,FEMININO,1998-03-16,Japan,Athletics,Women's Javelin Throw,36.204824,138.252924
van DYK Jo-Ane,PRATA,2024-08-10,FEMININO,1997-10-03,South Africa,Athletics,Women's Javelin Throw,-30.559482,22.937506
OGRODNIKOVA Nikola,BRONZE,2024-08-10,FEMININO,1990-08-18,Czechia,Athletics,Women's Javelin Throw,49.817492,15.472962
JALOLOV Bakhodir,OURO,2024-08-10,MASCULINO,1994-07-08,Uzbekistan,Boxing,Men's +92kg,41.377491,64.585262
GHADFA DRISSI EL AISSAOUI Ayoub,PRATA,2024-08-10,MASCULINO,1998-12-06,Spain,Boxing,Men's +92kg,40.463667,-3.74922
KHALOKOV Abdumalik,OURO,2024-08-10,MASCULINO,2000-04-09,Uzbekistan,Boxing,Men's 57kg,41.377491,64.585262
SEIITBEK UULU Munarbek,PRATA,2024-08-10,MASCULINO,1996-01-01,Kyrgyzstan,Boxing,Men's 57kg,41.20438,74.766098
LIN Yu Ting,OURO,2024-08-10,FEMININO,1995-12-13,Chinese Taipei,Boxing,Women's 57kg,23.69781,120.960515
SZEREMETA Julia,PRATA,2024-08-10,FEMININO,2003-08-24,Poland,Boxing,Women's 57kg,51.919438,19.145136
LI Qian,OURO,2024-08-10,FEMININO,1990-06-06,China,Boxing,Women's 75kg,35.86166,104.195397
BYLON Atheyna Bibeichi,PRATA,2024-08-10,FEMININO,1989-04-06,Panama,Boxing,Women's 75kg,8.537981,-80.782127
PHIL WIZARD,OURO,2024-08-10,MASCULINO,1997-01-25,Canada,Breaking,B-Boys,56.130366,-106.346771
DANY DANN,PRATA,2024-08-10,MASCULINO,1988-05-03,France,Breaking,B-Boys,46.227638,2.213749
VICTOR,BRONZE,2024-08-10,MASCULINO,1994-05-01,United States,Breaking,B-Boys,38.7945952,-106.5348379
DOSTAL Josef,OURO,2024-08-10,MASCULINO,1993-03-03,Czechia,Canoe Sprint,Men's Kayak Single 1000m,49.817492,15.472962
VARGA Adam,PRATA,2024-08-10,MASCULINO,1999-11-20,Hungary,Canoe Sprint,Men's Kayak Single 1000m,47.162494,19.503304
KOPASZ Balint,BRONZE,2024-08-10,MASCULINO,1997-06-20,Hungary,Canoe Sprint,Men's Kayak Single 1000m,47.162494,19.503304
VINCENT Katie,OURO,2024-08-10,FEMININO,1996-03-12,Canada,Canoe Sprint,Women's Canoe Single 200m,56.130366,-106.346771
HARRISON Nevin,PRATA,2024-08-10,FEMININO,2002-06-02,United States,Canoe Sprint,Women's Canoe Single 200m,38.7945952,-106.5348379
CIRILO DUBOYS Yarisleidis,BRONZE,2024-08-10,FEMININO,2002-05-10,Cuba,Canoe Sprint,Women's Canoe Single 200m,21.521757,-77.781167
CARRINGTON Lisa,OURO,2024-08-10,FEMININO,1989-06-23,New Zealand,Canoe Sprint,Women's Kayak Single 500m,-40.900557,174.885971
CSIPES Tamara,PRATA,2024-08-10,FEMININO,1989-08-24,Hungary,Canoe Sprint,Women's Kayak Single 500m,47.162494,19.503304
JORGENSEN Emma Aastrand,BRONZE,2024-08-10,FEMININO,1996-01-30,Denmark,Canoe Sprint,Women's Kayak Single 500m,56.26392,9.501785
CAO Yuan,OURO,2024-08-10,MASCULINO,1995-02-07,China,Diving,Men's 10m Platform,35.86166,104.195397
TAMAI Rikuto,PRATA,2024-08-10,MASCULINO,2006-09-11,Japan,Diving,Men's 10m Platform,36.204824,138.252924
WILLIAMS Noah,BRONZE,2024-08-10,MASCULINO,2000-05-15,Great Britain,Diving,Men's 10m Platform,55.378051,-3.435973
KO Lydia,OURO,2024-08-10,FEMININO,1997-04-24,New Zealand,Golf,Women's Individual Stroke Play,-40.900557,174.885971
HENSELEIT Esther,PRATA,2024-08-10,FEMININO,1999-01-14,Germany,Golf,Women's Individual Stroke Play,51.165691,10.451526
LIN Xiyu Janet,BRONZE,2024-08-10,FEMININO,1996-02-25,China,Golf,Women's Individual Stroke Play,35.86166,104.195397
ELGENDY Ahmed,OURO,2024-08-10,MASCULINO,2000-03-01,Egypt,Modern Pentathlon,Men's Individual,26.820553,30.802498
SATO Taishu,PRATA,2024-08-10,MASCULINO,1993-10-20,Japan,Modern Pentathlon,Men's Individual,36.204824,138.252924
MALAN Giorgio,BRONZE,2024-08-10,MASCULINO,2000-01-27,Italy,Modern Pentathlon,Men's Individual,41.87194,12.56738
GARNBRET Janja,OURO,2024-08-10,FEMININO,1999-03-12,Slovenia,Sport Climbing,Women's Boulder & Lead,46.151241,14.995463
RABOUTOU Brooke,PRATA,2024-08-10,FEMININO,2001-04-09,United States,Sport Climbing,Women's Boulder & Lead,38.7945952,-106.5348379
PILZ Jessica,BRONZE,2024-08-10,FEMININO,1996-11-22,Austria,Sport Climbing,Women's Boulder & Lead,47.516231,14.550072
SALIMI Arian,OURO,2024-08-10,MASCULINO,2003-12-16,IR Iran,Taekwondo,Men +80kg,32.427908,53.688046
CUNNINGHAM Caden,PRATA,2024-08-10,MASCULINO,2003-05-07,Great Britain,Taekwondo,Men +80kg,55.378051,-3.435973
ALBA Rafael,BRONZE,2024-08-10,MASCULINO,1993-08-12,Cuba,Taekwondo,Men +80kg,21.521757,-77.781167
CISSE Cheick Sallah,BRONZE,2024-08-10,MASCULINO,1993-09-19,Cote d'Ivoire,Taekwondo,Men +80kg,7.539989,-5.54708
LAURIN Althea,OURO,2024-08-10,FEMININO,2001-09-01,France,Taekwondo,Women +67kg,46.227638,2.213749
OSIPOVA Svetlana,PRATA,2024-08-10,FEMININO,2000-05-03,Uzbekistan,Taekwondo,Women +67kg,41.377491,64.585262
LEE Dabin,BRONZE,2024-08-10,FEMININO,1996-12-07,Korea,Taekwondo,Women +67kg,35.907757,127.766922
KUS AYDIN Nafia,BRONZE,2024-08-10,FEMININO,1995-02-20,Turkiye,Taekwondo,Women +67kg,38.963745,35.243322
TALAKHADZE Lasha,OURO,2024-08-10,MASCULINO,1993-10-02,Georgia,Weightlifting,Men's +102kg,42.315407,43.356892
LALAYAN Varazdat,PRATA,2024-08-10,MASCULINO,1999-05-01,Armenia,Weightlifting,Men's +102kg,40.069099,45.038189
MINASYAN Gor,BRONZE,2024-08-10,MASCULINO,1994-10-25,Bahrain,Weightlifting,Men's +102kg,26.0667,50.5577
LIU Huanhua,OURO,2024-08-10,MASCULINO,2001-08-20,China,Weightlifting,Men's 102kg,35.86166,104.195397
DJURAEV Akbar,PRATA,2024-08-10,MASCULINO,1999-10-08,Uzbekistan,Weightlifting,Men's 102kg,41.377491,64.585262
TSIKHANTSOU Yauheni,BRONZE,2024-08-10,MASCULINO,1998-11-04,AIN,Weightlifting,Men's 102kg,46.2475706,5.1307681
KOANDA Solfrid Eila Amena,OURO,2024-08-10,FEMININO,1998-11-13,Norway,Weightlifting,Women's 81kg,60.472024,8.468946
AHMED Sara,PRATA,2024-08-10,FEMININO,1998-01-01,Egypt,Weightlifting,Women's 81kg,26.820553,30.802498
DAJOMES BARRERA Neisi Patricia,BRONZE,2024-08-10,FEMININO,1998-05-12,Ecuador,Weightlifting,Women's 81kg,-1.831239,-78.183406
PETRIASHVILI Geno,OURO,2024-08-10,MASCULINO,1994-04-01,Georgia,Wrestling,Men's Freestyle 125kg,42.315407,43.356892
ZARE Amir Hossein,PRATA,2024-08-10,MASCULINO,2001-01-16,IR Iran,Wrestling,Men's Freestyle 125kg,32.427908,53.688046
AKGUL Taha,BRONZE,2024-08-10,MASCULINO,1990-11-22,Turkiye,Wrestling,Men's Freestyle 125kg,38.963745,35.243322
MESHVILDISHVILI Giorgi,BRONZE,2024-08-10,MASCULINO,1992-05-13,Azerbaijan,Wrestling,Men's Freestyle 125kg,40.143105,47.576927
JAMALOV Razambek Salambekovitch,OURO,2024-08-10,MASCULINO,1998-06-01,Uzbekistan,Wrestling,Men's Freestyle 74kg,41.377491,64.585262
TAKATANI Daichi,PRATA,2024-08-10,MASCULINO,1994-11-22,Japan,Wrestling,Men's Freestyle 74kg,36.204824,138.252924
DAKE Kyle Douglas,BRONZE,2024-08-10,MASCULINO,1991-02-25,United States,Wrestling,Men's Freestyle 74kg,38.7945952,-106.5348379
VALIEV Chermen,BRONZE,2024-08-10,MASCULINO,1998-12-10,Albania,Wrestling,Men's Freestyle 74kg,41.153332,20.168331
MOTOKI Sakura,OURO,2024-08-10,FEMININO,2002-02-20,Japan,Wrestling,Women's Freestyle 62kg,36.204824,138.252924
KOLIADENKO Iryna,PRATA,2024-08-10,FEMININO,1998-08-28,Ukraine,Wrestling,Women's Freestyle 62kg,48.379433,31.16558
TYNYBEKOVA Aisuluu,BRONZE,2024-08-10,FEMININO,1993-05-04,Kyrgyzstan,Wrestling,Women's Freestyle 62kg,41.20438,74.766098
BULLEN Grace Jacob,BRONZE,2024-08-10,FEMININO,1997-02-07,Norway,Wrestling,Women's Freestyle 62kg,60.472024,8.468946
HASSAN Sifan,OURO,2024-08-11,FEMININO,1993-01-01,Netherlands,Athletics,Women's Marathon,52.132633,5.291266
ASSEFA Tigst,PRATA,2024-08-11,FEMININO,1996-12-03,Ethiopia,Athletics,Women's Marathon,9.145,40.489673
OBIRI Hellen,BRONZE,2024-08-11,FEMININO,1989-12-13,Kenya,Athletics,Women's Marathon,-0.023559,37.906193
LAVREYSEN Harrie,OURO,2024-08-11,MASCULINO,1997-03-14,Netherlands,Cycling Track,Men's Keirin,52.132633,5.291266
RICHARDSON Matthew,PRATA,2024-08-11,MASCULINO,1999-04-17,Australia,Cycling Track,Men's Keirin,-25.274398,133.775136
GLAETZER Matthew,BRONZE,2024-08-11,MASCULINO,1992-08-24,Australia,Cycling Track,Men's Keirin,-25.274398,133.775136
VALENTE Jennifer,OURO,2024-08-11,FEMININO,1994-12-24,United States,Cycling Track,Women's Omnium,38.7945952,-106.5348379
PIKULIK Daria,PRATA,2024-08-11,FEMININO,1997-01-06,Poland,Cycling Track,Women's Omnium,51.919438,19.145136
WOLLASTON Ally,BRONZE,2024-08-11,FEMININO,2001-01-04,New Zealand,Cycling Track,Women's Omnium,-40.900557,174.885971
ANDREWS Ellesse,OURO,2024-08-11,FEMININO,1999-12-31,New Zealand,Cycling Track,Women's Sprint,-40.900557,174.885971
FRIEDRICH Lea,PRATA,2024-08-11,FEMININO,2000-01-07,Germany,Cycling Track,Women's Sprint,51.165691,10.451526
FINUCANE Emma,BRONZE,2024-08-11,FEMININO,2002-12-22,Great Britain,Cycling Track,Women's Sprint,55.378051,-3.435973
GULYAS Michelle,OURO,2024-08-11,FEMININO,2000-10-24,Hungary,Modern Pentathlon,Women's Individual,47.162494,19.503304
CLOUVEL Elodie,PRATA,2024-08-11,FEMININO,1989-01-14,France,Modern Pentathlon,Women's Individual,46.227638,2.213749
SEONG Seungmin,BRONZE,2024-08-11,FEMININO,2003-05-13,Korea,Modern Pentathlon,Women's Individual,35.907757,127.766922
LI Wenwen,OURO,2024-08-11,FEMININO,2000-03-05,China,Weightlifting,Women's +81kg,35.86166,104.195397
PARK Hyejeong,PRATA,2024-08-11,FEMININO,2003-03-12,Korea,Weightlifting,Women's +81kg,35.907757,127.766922
CAMPBELL Emily,BRONZE,2024-08-11,FEMININO,1994-05-06,Great Britain,Weightlifting,Women's +81kg,55.378051,-3.435973
KIYOOKA Kotaro,OURO,2024-08-11,MASCULINO,2001-04-12,Japan,Wrestling,Men's Freestyle 65kg,36.204824,138.252924
AMOUZADKHALILI Rahman,PRATA,2024-08-11,MASCULINO,2002-07-17,IR Iran,Wrestling,Men's Freestyle 65kg,32.427908,53.688046
RIVERA Sebastian C,BRONZE,2024-08-11,MASCULINO,1998-08-27,Puerto Rico,Wrestling,Men's Freestyle 65kg,18.220833,-66.590149
DUDAEV Islam,BRONZE,2024-08-11,MASCULINO,1995-01-15,Albania,Wrestling,Men's Freestyle 65kg,41.153332,20.168331
TAZHUDINOV Akhmed,OURO,2024-08-11,MASCULINO,2003-01-25,Bahrain,Wrestling,Men's Freestyle 97kg,26.0667,50.5577
MATCHARASHVILI Givi,PRATA,2024-08-11,MASCULINO,1997-05-17,Georgia,Wrestling,Men's Freestyle 97kg,42.315407,43.356892
MAGOMEDOV Magomedkhan,BRONZE,2024-08-11,MASCULINO,1998-01-27,Azerbaijan,Wrestling,Men's Freestyle 97kg,40.143105,47.576927
AZARPIRA Amirali,BRONZE,2024-08-11,MASCULINO,2002-03-26,IR Iran,Wrestling,Men's Freestyle 97kg,32.427908,53.688046
KAGAMI Yuka,OURO,2024-08-11,FEMININO,2001-09-14,Japan,Wrestling,Women's Freestyle 76kg,36.204824,138.252924
BLADES Kennedy Alexis,PRATA,2024-08-11,FEMININO,2003-09-04,United States,Wrestling,Women's Freestyle 76kg,38.7945952,-106.5348379
MARIN POTRILLE Milaimy de la Carid,BRONZE,2024-08-11,FEMININO,2001-03-16,Cuba,Wrestling,Women's Freestyle 76kg,21.521757,-77.781167
RENTERIA RENTERIA Tatiana,BRONZE,2024-08-11,FEMININO,2000-12-22,Colombia,Wrestling,Women's Freestyle 76kg,4.570868,-74.297333
VARFOLOMEEV Darja,OURO,2024-08-09,FEMININO,2006-11-04,Germany,Rhythmic Gymnastics,Individual All-Around,51.165691,10.451526
KALEYN Boryana,PRATA,2024-08-09,FEMININO,2000-08-23,Bulgaria,Rhythmic Gymnastics,Individual All-Around,42.733883,25.48583
RAFFAELI Sofia,BRONZE,2024-08-09,FEMININO,2004-01-19,Italy,Rhythmic Gymnastics,Individual All-Around,41.87194,12.56738
THIAM Nafissatou,OURO,2024-08-09,FEMININO,1994-08-19,Belgium,Athletics,Women's Heptathlon,50.503887,4.469936
JOHNSON-THOMPSON Katarina,PRATA,2024-08-09,FEMININO,1993-01-09,Great Britain,Athletics,Women's Heptathlon,55.378051,-3.435973
VIDTS Noor,BRONZE,2024-08-09,FEMININO,1996-05-30,Belgium,Athletics,Women's Heptathlon,50.503887,4.469936
CHANG Yani,OURO,2024-07-27,FEMININO,2001-12-07,China,Diving,Women's Synchronised 3m Springboard,35.86166,104.195397
CHEN Yiwen,OURO,2024-07-27,FEMININO,1999-06-15,China,Diving,Women's Synchronised 3m Springboard,35.86166,104.195397
BACON Sarah,PRATA,2024-07-27,FEMININO,1996-09-20,United States,Diving,Women's Synchronised 3m Springboard,38.7945952,-106.5348379
COOK Kassidy,PRATA,2024-07-27,FEMININO,1995-05-09,United States,Diving,Women's Synchronised 3m Springboard,38.7945952,-106.5348379
HARPER Yasmin,BRONZE,2024-07-27,FEMININO,2000-07-28,Great Britain,Diving,Women's Synchronised 3m Springboard,55.378051,-3.435973
MEW JENSEN Scarlett,BRONZE,2024-07-27,FEMININO,2001-12-31,Great Britain,Diving,Women's Synchronised 3m Springboard,55.378051,-3.435973
PASQUET Varian,OURO,2024-07-27,MASCULINO,1999-07-29,France,Rugby Sevens,Men,46.227638,2.213749
TIMO Andy,OURO,2024-07-27,MASCULINO,2004-05-28,France,Rugby Sevens,Men,46.227638,2.213749
REBBADJ Rayan,OURO,2024-07-27,MASCULINO,1999-08-15,France,Rugby Sevens,Men,46.227638,2.213749
FORNER Theo,OURO,2024-07-27,MASCULINO,2001-10-17,France,Rugby Sevens,Men,46.227638,2.213749
PAREZ EDO MARTIN Stephen,OURO,2024-07-27,MASCULINO,1994-08-01,France,Rugby Sevens,Men,46.227638,2.213749
RIVA Paulin,OURO,2024-07-27,MASCULINO,1994-04-20,France,Rugby Sevens,Men,46.227638,2.213749
JOSEPH Jefferson-Lee,OURO,2024-07-27,MASCULINO,2002-08-29,France,Rugby Sevens,Men,46.227638,2.213749
ZEGHDAR Antoine,OURO,2024-07-27,MASCULINO,1999-05-22,France,Rugby Sevens,Men,46.227638,2.213749
GRANDIDIER NKANANG Aaron,OURO,2024-07-27,MASCULINO,2000-05-18,France,Rugby Sevens,Men,46.227638,2.213749
BARRAQUE Jean Pascal,OURO,2024-07-27,MASCULINO,1991-04-24,France,Rugby Sevens,Men,46.227638,2.213749
DUPONT Antoine,OURO,2024-07-27,MASCULINO,1996-11-15,France,Rugby Sevens,Men,46.227638,2.213749
